aav2020;libelle;dep;region;lat;lon;population;nb_docteurs_pondere;densite_100k
001;Paris;75;Île-de-France;48.803391166584255;2.412498950192288;13320752.0;979.372222124;7.352229229430891
002;Lyon;69;Auvergne-Rhône-Alpes;45.756214117314414;4.901614606971718;2339329.0;177.40238094;7.583472907829553
003;Marseille - Aix-en-Provence;13;Provence-Alpes-Côte d'Azur;43.485607895627616;5.510417461205089;1917728.0;175.327380933;9.142452992968762
004;Lille (partie française);59;Hauts-de-France;50.59414663419896;3.0095846416390906;1530624.0;85.20119047;5.566435027152325
005;Toulouse;31;Occitanie;43.550468819210536;1.3727720691711005;1529112.0;118.419047602;7.744301764815134
006;Bordeaux;33;Nouvelle-Aquitaine;44.81021659895935;-0.6890730392875424;1426278.0;132.222222207;9.270438316162767
008;Nantes;44;Pays de la Loire;47.27495243699906;-1.6052861147312978;1050815.0;72.922619037;6.939624866127721
010;Strasbourg (partie française);67;Grand Est;48.58912284267571;7.550392080458004;875163.0;79.628571428;9.098713202911915
012;Montpellier;34;Occitanie;43.67640385636696;3.7808207437801538;842923.0;84.751082235;10.05442753786526
013;Rennes;35;Bretagne;48.09839314365269;-1.7274991715614452;789516.0;49.566666669;6.278107938154515
014;Grenoble;38;Auvergne-Rhône-Alpes;45.1685768150213;5.689132486448341;727380.0;44.684065932;6.143152950589789
015;Rouen;76;Normandie;49.50277729249767;1.1021264458844477;715234.0;39.266666658;5.49004474871161
017;Nice;06;Provence-Alpes-Côte d'Azur;43.916928095320024;7.142854517910871;641721.0;75.066666648;11.697710788333247
018;Toulon;83;Provence-Alpes-Côte d'Azur;43.205466444034776;6.028636370052845;591135.0;63.416666659;10.727949902983244
019;Tours;37;Centre-Val de Loire;47.371320064593306;0.6568135967746143;529468.0;36.549999985;6.903155617525517
020;Nancy;54;Grand Est;48.63355520218902;6.183581606579933;507812.0;41.916666664;8.254367101210685
022;Clermont-Ferrand;63;Auvergne-Rhône-Alpes;45.80260219429929;3.1112911546225814;510668.0;41.333333328;8.093973643933046
023;Saint-Étienne;42;Auvergne-Rhône-Alpes;45.4492096361295;4.300760611251045;503351.0;25.126190474;4.99178316403464
024;Caen;14;Normandie;49.10372579863055;-0.40856443365160794;486716.0;23.533333331;4.835126301785847
025;Orléans;45;Centre-Val de Loire;47.86797946418108;1.9061207210992954;463435.0;27.999999995;6.041839739121991
026;Angers;49;Pays de la Loire;47.49026595698105;-0.5627633720415112;448162.0;29.850000008;6.660537932265565
028;Dijon;21;Bourgogne-Franche-Comté;47.35896976371596;5.054836106671862;419527.0;28.333333328;6.753637627137228
029;Mulhouse;68;Grand Est;47.78283046858245;7.238553409873276;410900.0;26.666666666;6.489819096130446
030;Perpignan;66;Occitanie;42.67999156207853;2.7785556938920672;432128.0;38.616666669;8.936395389560499
031;Cannes - Antibes;06;Provence-Alpes-Côte d'Azur;43.59593620024021;6.925930862854764;404118.0;47.533333328;11.762241060284373
032;Brest;29;Bretagne;48.46266217846529;-4.4528828966142004;381115.0;31.999999996;8.396415778964354
033;Metz;57;Grand Est;49.072511325774116;6.230061117891737;378942.0;26.416666665;6.971163572525612
034;Le Mans;72;Pays de la Loire;48.004335110622335;0.193724981639376;371448.0;20.058333335;5.400038049740475
035;Amiens;80;Hauts-de-France;49.92033654779814;2.2801269292456197;354121.0;25.266666659;7.135037645042231
036;Reims;51;Grand Est;49.32596649233739;4.085647417964543;356721.0;21.266666664;5.961708636161033
037;Nîmes;30;Occitanie;43.83053282554979;4.3231778429756975;357349.0;24.567857138;6.875031730325256
038;Valenciennes (partie française);59;Hauts-de-France;50.32666776188563;3.5307620469900005;336830.0;16.61904762;4.9339570762699285
039;Le Havre;76;Normandie;49.554817401083525;0.3481374065905419;336217.0;13.666666665;4.064835110955127
040;Avignon;84;Provence-Alpes-Côte d'Azur;43.96113408348726;4.826561230353641;345592.0;18.041666662;5.220510504294081
041;Limoges;87;Nouvelle-Aquitaine;45.84080687629264;1.2855404648766575;324230.0;19.998412702;6.167971101378651
042;Lens - Liévin;62;Hauts-de-France;50.42231581233715;2.8191967311035784;320338.0;22.29880953;6.961025395051477
043;Annecy;74;Auvergne-Rhône-Alpes;45.86419924782109;6.128209965111946;303877.0;21.435714278;7.05407591821691
044;Pau;64;Nouvelle-Aquitaine;43.327233877987034;-0.34198040878933184;288240.0;15.050000001;5.221343325353872
045;Besançon;25;Bourgogne-Franche-Comté;47.26670179789309;5.983942133663514;283269.0;23.999999994;8.472511991781664
046;Poitiers;86;Nouvelle-Aquitaine;46.53862029832983;0.3434926928548791;282042.0;19.499999999;6.913863892257182
047;Bayonne (partie française);64;Nouvelle-Aquitaine;43.44126817640814;-1.3752942478160652;291997.0;34.063232591;11.665610465518482
048;Dunkerque;59;Hauts-de-France;50.9399205895182;2.349316908107948;257606.0;12.166666665;4.722974878302524
049;Valence;26;Auvergne-Rhône-Alpes;44.907120001234176;4.91738621876239;258609.0;22.499999999;8.700393257388567
050;Chambéry;73;Auvergne-Rhône-Alpes;45.578685731642146;5.909366136684632;266137.0;24.280036628;9.123134561522825
051;La Rochelle;17;Nouvelle-Aquitaine;46.20695147988208;-0.9779996756288964;253143.0;22.383333327;8.842169574904302
052;Quimper;29;Bretagne;48.001778605558435;-4.081676842197609;242213.0;16.333333326;6.743376006242441
053;Lorient;56;Bretagne;47.83335269656556;-3.310602841299607;231828.0;19.083333329;8.231677506168365
054;Troyes;10;Grand Est;48.296933142591044;4.066558895896427;221893.0;9.98333333;4.499165512206334
055;Saint-Nazaire;44;Pays de la Loire;47.35902065537328;-2.220275410028748;225507.0;17.551190496;7.782991435299126
056;Saint-Brieuc;22;Bretagne;48.467098438363266;-2.7804900996856987;204259.0;13.55;6.633734621240681
057;Vannes;56;Bretagne;47.702544690368214;-2.707735385686554;213024.0;18.899999996;8.872239745756346
058;Colmar;68;Grand Est;48.08028430461855;7.310113269111002;199585.0;22.333333333;11.189885679284515
059;Douai;59;Hauts-de-France;50.32276506629192;3.1051775896902583;198126.0;7.1023809579999995;3.5847798663476773
060;Béziers;34;Occitanie;43.38716976382249;3.178432239309491;205841.0;16.292893217;7.915280831807074
061;Montbéliard;25;Bourgogne-Franche-Comté;47.48744984573401;6.702554908572592;177553.0;5.666666666;3.191535297066228
062;Angoulême;16;Nouvelle-Aquitaine;45.654381131639894;0.1997682992480974;180925.0;6.833333331;3.776887290866381
063;Niort;79;Nouvelle-Aquitaine;46.31511628993882;-0.44015459857030886;179458.0;14.149999998;7.884853279318838
064;Bourges;18;Centre-Val de Loire;47.05841717118368;2.462615301629724;172865.0;7.666666666;4.435060113961763
065;Chartres;28;Centre-Val de Loire;48.38265098028529;1.3939248811262548;171665.0;12.453968253;7.254809223196341
066;La Roche-sur-Yon;85;Pays de la Loire;46.664929615770085;-1.4258387142005606;175459.0;9.299999999;5.300383564821412
067;Cholet;49;Pays de la Loire;47.08135826666298;-0.8896056211803753;164697.0;10.833333327;6.577735676423979
068;Boulogne-sur-Mer;62;Hauts-de-France;50.71004031600646;1.7443373271829241;159217.0;8.166666665000001;5.129268021002783
069;Arras;62;Hauts-de-France;50.249483273815336;2.708884401511257;159959.0;9.716666666;6.074473250020318
070;Chalon-sur-Saône;71;Bourgogne-Franche-Comté;46.76597136903633;4.887020648554602;154920.0;13.521428574;8.728007083656081
071;Cherbourg-en-Cotentin;50;Normandie;49.56885062305058;-1.6064994113450022;152800.0;9.0;5.890052356020942
072;Narbonne;11;Occitanie;43.15543203214999;2.8986326823027233;157900.0;9.226190479;5.843059201393286
073;Calais;62;Hauts-de-France;50.88486895636788;1.9209840677250942;144483.0;5.499999999;3.8066762172712356
074;Blois;41;Centre-Val de Loire;47.595045785797666;1.3418165580545718;145845.0;10.749999996;7.370838901573587
075;Laval;53;Pays de la Loire;48.06267371765247;-0.7506598965086582;145543.0;10.166666666;6.9853353757995915
076;Beauvais;60;Hauts-de-France;49.52687100790544;2.033720845626091;143433.0;7.9;5.507798065995971
077;Maubeuge (partie française);59;Hauts-de-France;50.252134026723326;3.9535993052375953;137530.0;2.5;1.8177852104995273
078;Compiègne;60;Hauts-de-France;49.471103557601474;2.853336648500464;142288.0;8.0;5.622399640166423
079;Roanne;42;Auvergne-Rhône-Alpes;46.06566105513092;4.038405436679823;142432.0;7.707692305;5.411489205375197
080;Bourg-en-Bresse;01;Auvergne-Rhône-Alpes;46.26467124196782;5.222217886525141;145241.0;7.0;4.819575739632748
081;Montauban;82;Occitanie;44.07031658844941;1.4065250025293436;144020.0;11.569047615;8.03294515692265
082;Albi;81;Occitanie;43.9392646501074;2.171093582350812;141235.0;10.749999999;7.611427761532197
083;Évreux;27;Normandie;48.98626853600366;1.0562305464017834;138384.0;11.066666664;7.997070950398889
084;Mâcon;71;Bourgogne-Franche-Comté;46.359897258790035;4.779904579494592;140394.0;8.583333332;6.113746550422382
085;Tarbes;65;Occitanie;43.2695922981863;0.10954887567355841;138329.0;9.933333332;7.1809478359563075
086;Belfort;90;Bourgogne-Franche-Comté;47.676786631991575;6.837849075199606;131995.0;15.166666665;11.490334228569264
087;Brive-la-Gaillarde;19;Nouvelle-Aquitaine;45.1647425752502;1.5035094465465189;135325.0;10.999999998;8.128579344540919
088;Saint-Malo;35;Bretagne;48.570438841676726;-1.9090499182681124;139522.0;12.133333339;8.696358523386992
089;Alès;30;Occitanie;44.149216273178176;4.097662064238835;136677.0;8.208333333;6.005643475493317
090;Charleville-Mézières;08;Grand Est;49.743865862997765;4.623039514662779;124080.0;8.0;6.447453255963895
