bv2022;libelle;dep;region;lat;lon;population;nb_docteurs_pondere;densite_100k
01004;Ambérieu-en-Bugey;01;Auvergne-Rhône-Alpes;46.00162325544847;5.360047544267934;49316.0;2.0;4.055478952064239
01033;Valserhône;01;Auvergne-Rhône-Alpes;46.131702788020604;5.824267872667508;30736.0;0.25;0.8133784487246226
01034;Belley;01;Auvergne-Rhône-Alpes;45.81807452377547;5.659365987435893;25915.0;3.142857143;12.12755988037816
01053;Bourg-en-Bresse;01;Auvergne-Rhône-Alpes;46.1582536188666;5.2017608805582;86806.0;6.5;7.487961661636292
01072;Ceyzériat;01;Auvergne-Rhône-Alpes;46.22890950132486;5.371551875609047;18262.0;0.5;2.737925747453729
01093;Châtillon-sur-Chalaronne;01;Auvergne-Rhône-Alpes;46.116146326968085;4.970355834039333;17622.0;0.0;0.0
01138;Culoz-Béon;01;Auvergne-Rhône-Alpes;45.83370894603159;5.801728167331671;9764.0;0.0;0.0
01143;Divonne-les-Bains;01;Auvergne-Rhône-Alpes;46.368324967612224;6.114783735868709;11353.0;0.166666667;1.4680407557473794
01160;Ferney-Voltaire;01;Auvergne-Rhône-Alpes;46.26260781425877;6.085242451915035;26329.0;1.05952381;4.024170344487067
01173;Gex;01;Auvergne-Rhône-Alpes;46.33149294854265;6.028632342406928;28992.0;0.0;0.0
01185;Plateau d'Hauteville;01;Auvergne-Rhône-Alpes;45.99704827419481;5.6024950196454775;9277.0;0.25;2.6948366928964105
01202;Lagnieu;01;Auvergne-Rhône-Alpes;45.86737486100039;5.336185477482158;13027.0;0.0;0.0
01244;Meximieux;01;Auvergne-Rhône-Alpes;45.896688382794245;5.203285390583976;24628.0;0.333333333;1.3534730103946728
01262;Montluel;01;Auvergne-Rhône-Alpes;45.86712435465113;5.065036839776638;25905.0;3.816666665;14.733320459370779
01265;Montréal-la-Cluse;01;Auvergne-Rhône-Alpes;46.15239061554385;5.580087884027819;18790.0;0.0;0.0
01266;Montrevel-en-Bresse;01;Auvergne-Rhône-Alpes;46.353685674097086;5.154849762898396;22441.0;0.0;0.0
01283;Oyonnax;01;Auvergne-Rhône-Alpes;46.30766695448628;5.617440125134311;45765.0;3.73809524;8.168021938162351
