bv2022;nb_docteurs_pondere;population_2023_bv
01004;2.0;49316.0
01033;0.25;30736.0
01034;3.142857143;25915.0
01053;6.5;86806.0
01072;0.5;18262.0
01093;0.0;17622.0
01138;0.0;9764.0
01143;0.166666667;11353.0
01160;1.05952381;26329.0
01173;0.0;28992.0
01185;0.25;9277.0
01202;0.0;13027.0
01244;0.333333333;24628.0
01262;3.816666665;25905.0
01265;0.0;18790.0
01266;0.0;22441.0
01283;3.73809524;45765.0
01304;1.433333333;4647.0
01305;0.0;21771.0
01333;0.0;10794.0
01354;0.166666667;35803.0
01443;0.0;9207.0
01457;0.0;11700.0
02095;0.0;23625.0
02163;0.0;9013.0
02168;0.666666667;43246.0
02173;2.0;32194.0
02305;0.0;5663.0
02360;0.0;6378.0
02361;0.0;21823.0
02381;0.0;26284.0
02408;2.033333332;74864.0
02468;0.0;5294.0
02502;0.0;4681.0
02558;0.0;15452.0
02691;10.499999997;89039.0
02722;5.416666667;75185.0
02738;0.0;38543.0
02789;0.0;9057.0
02810;0.0;30011.0
03036;0.0;6978.0
03082;0.0;21421.0
03102;0.0;9817.0
03118;0.0;25062.0
03138;0.999999999;14494.0
03185;6.0;76090.0
03186;0.0;3121.0
03190;2.6666666660000002;63214.0
03254;0.5;16117.0
03298;0.0;6984.0
03310;6.499999999;91504.0
04019;0.5;6626.0
04049;0.333333333;18017.0
04070;0.666666666;27682.0
04088;0.333333333;17151.0
04094;0.0;15633.0
04112;4.238095237;40800.0
04143;0.0;8366.0
04166;0.0;10323.0
04173;0.0;9592.0
04209;0.0;17439.0
05006;0.0;5477.0
05023;1.0;19882.0
05040;0.0;12465.0
05046;0.5;13385.0
05061;6.333333333;55177.0
05065;0.0;7991.0
05070;0.0;8355.0
05132;0.0;7835.0
05170;2.333333336;6962.0
05179;0.0;11071.0
06029;46.333333328;411376.0
06033;1.0;44775.0
06048;2.166666665;17795.0
06083;6.3333333320000005;80492.0
06088;71.774999983;569035.0
06099;0.125;9039.0
07010;1.3333333330000001;49868.0
07019;4.666666666;55377.0
07042;0.0;13113.0
07064;0.0;9092.0
07110;0.0;10117.0
07129;0.0;7538.0
07132;0.0;5102.0
07186;1.7;31036.0
07201;0.0;6296.0
07324;0.0;42694.0
07330;0.0;5247.0
07334;0.0;9466.0
07338;0.0;3582.0
07341;0.0;5142.0
07349;0.0;14820.0
08090;0.0;9424.0
08105;8.0;98012.0
08185;0.0;5548.0
08190;0.0;14080.0
08302;0.0;5966.0
08328;0.0;8089.0
08362;1.0;36885.0
08363;0.0;14798.0
08409;0.0;50590.0
08490;0.0;16835.0
09122;0.0;21751.0
09160;0.0;20859.0
09167;0.0;9994.0
09185;0.0;8993.0
09194;0.0;7443.0
09225;1.6666666660000002;45579.0
09261;2.333333333;26686.0
09282;2.866666667;5576.0
09306;0.0;15328.0
10003;0.0;14845.0
10006;0.0;13823.0
10033;1.0;13898.0
10034;0.0;17013.0
10064;0.0;9785.0
10268;0.0;15822.0
10323;1.916666666;38107.0
10387;9.98333333;190980.0
11049;0.0;15883.0
11069;8.916666667;91821.0
11076;0.583333333;23977.0
11106;0.0;13352.0
11203;1.577380953;37836.0
11206;0.5;26216.0
11262;7.648809526;103375.0
11266;0.0;5852.0
11304;0.0;14356.0
11379;0.0;12439.0
11397;0.0;8501.0
12052;0.0;8088.0
12056;0.0;7627.0
12089;0.0;19358.0
12096;0.0;16889.0
12119;0.0;11051.0
12120;0.0;5436.0
12133;0.0;20985.0
12138;0.0;12908.0
12145;2.107575757;39456.0
12148;0.0;5584.0
12169;0.0;4635.0
12197;0.0;10438.0
12198;0.0;5578.0
12199;0.0;4057.0
12202;8.166666667;56007.0
12208;2.0;22057.0
12224;0.0;3969.0
12270;0.0;5091.0
12300;3.0;29422.0
13001;45.583333322;362569.0
13004;7.9583333320000005;58062.0
13022;0.333333333;19332.0
13035;0.0;7119.0
13037;0.0;9039.0
13047;1.333333336;60154.0
13050;1.25;20814.0
13051;0.0;9915.0
13053;0.0;17001.0
13054;6.083333336;69220.0
13055;106.499999985;1080313.0
13056;4.083333336;70275.0
13063;0.75;36546.0
13074;0.0;11406.0
13078;0.0;8573.0
13080;0.0;6292.0
13084;1.0;15628.0
13088;0.0;11003.0
13096;0.0;2433.0
13097;1.5;23975.0
13100;3.0;10163.0
13103;9.333333333;62191.0
13104;2.0;13276.0
13105;0.0;9022.0
14020;0.0;15166.0
14027;0.0;7783.0
14047;2.0;51349.0
14118;22.533333331;292114.0
14174;0.0;14574.0
14191;0.0;16829.0
14225;0.25;21663.0
14228;0.0;21721.0
14257;0.0;9118.0
14258;0.0;32385.0
14333;1.6666666669999999;18082.0
14342;0.0;7033.0
14366;4.666666667;44729.0
14371;0.0;6373.0
14431;0.0;11696.0
14478;0.0;5991.0
14488;0.0;16239.0
14514;0.0;14371.0
14654;0.0;9839.0
14689;0.0;14117.0
14712;0.0;7403.0
14715;3.833333333;21045.0
14752;1.0;18287.0
14762;2.6666666660000002;39521.0
15014;3.0;71037.0
15119;0.0;4761.0
15120;1.0;13699.0
15122;0.0;9049.0
15138;0.0;7799.0
15162;0.0;8044.0
15187;0.0;21399.0
15258;0.0;4077.0
16015;5.499999999;138356.0
16028;2.267857143;20435.0
16070;0.0;11083.0
16073;0.0;11127.0
16078;0.0;20786.0
16085;0.0;10822.0
16090;0.0;10434.0
16102;4.2;44399.0
16106;0.677777778;11121.0
16167;0.0;23003.0
16206;0.0;12981.0
16281;1.333333332;22338.0
16292;0.0;15494.0
16366;0.0;4942.0
17003;0.0;24897.0
17024;0.0;5491.0
17093;0.0;6595.0
17131;0.0;13686.0
17140;0.0;3199.0
17161;1.0;17961.0
17168;0.0;6633.0
17172;0.0;7949.0
17197;0.458333333;22528.0
17218;0.333333333;18207.0
17219;0.0;11785.0
17224;0.0;11796.0
17236;0.0;4320.0
17240;0.0;10214.0
17241;0.0;11591.0
