aav2020;nb_docteurs_pondere;population_2023_aav
000;42.915750913;4464394.0
001;979.372222124;13320752.0
002;177.40238094;2339329.0
003;175.327380933;1917728.0
004;85.20119047;1530624.0
005;118.419047602;1529112.0
006;132.222222207;1426278.0
008;72.922619037;1050815.0
010;79.628571428;875163.0
012;84.751082235;842923.0
013;49.566666669;789516.0
014;44.684065932;727380.0
015;39.266666658;715234.0
017;75.066666648;641721.0
018;63.416666659;591135.0
019;36.549999985;529468.0
020;41.916666664;507812.0
022;41.333333328;510668.0
023;25.126190474;503351.0
024;23.533333331;486716.0
025;27.999999995;463435.0
026;29.850000008;448162.0
028;28.333333328000002;419527.0
029;26.666666666;410900.0
030;38.616666669;432128.0
031;47.533333328;404118.0
032;31.999999996;381115.0
033;26.416666665;378942.0
034;20.058333335;371448.0
035;25.266666659000002;354121.0
036;21.266666664;356721.0
037;24.567857138;357349.0
038;16.61904762;336830.0
039;13.666666665000001;336217.0
040;18.041666662;345592.0
041;19.998412702;324230.0
042;22.29880953;320338.0
043;21.435714278;303877.0
044;15.050000001;288240.0
045;23.999999994;283269.0
046;19.499999999;282042.0
047;34.063232591;291997.0
048;12.166666665;257606.0
049;22.499999999;258609.0
050;24.280036628;266137.0
051;22.383333327;253143.0
052;16.333333326;242213.0
053;19.083333329;231828.0
054;9.98333333;221893.0
055;17.551190496;225507.0
056;13.55;204259.0
057;18.899999996000002;213024.0
058;22.333333333;199585.0
059;7.1023809579999995;198126.0
060;16.292893217;205841.0
061;5.666666666;177553.0
062;6.833333331;180925.0
063;14.149999998;179458.0
064;7.666666666;172865.0
065;12.453968253;171665.0
066;9.299999999;175459.0
067;10.833333327;164697.0
068;8.166666665000001;159217.0
069;9.716666666;159959.0
070;13.521428574;154920.0
071;9.0;152800.0
072;9.226190479;157900.0
073;5.499999999;144483.0
074;10.749999996;145845.0
075;10.166666666;145543.0
076;7.9;143433.0
077;2.5;137530.0
078;8.0;142288.0
079;7.707692305;142432.0
080;7.0;145241.0
081;11.569047615;144020.0
082;10.749999999;141235.0
083;11.066666664;138384.0
084;8.583333332;140394.0
085;9.933333332;138329.0
086;15.166666665000001;131995.0
087;10.999999998;135325.0
088;12.133333339;139522.0
089;8.208333333;136677.0
090;8.0;124080.0
091;8.916666667;125087.0
092;21.483333331;134188.0
093;7.0;121539.0
094;10.499999997;117917.0
095;6.0;118973.0
096;4.0;116507.0
097;5.7;113658.0
098;9.399999997;122675.0
100;6.833333334;111293.0
101;12.892857143;114362.0
102;2.333333333;111085.0
103;8.166666667;113203.0
104;11.25;115480.0
105;4.416666667;105338.0
106;7.562728934;104283.0
107;8.566666665;101483.0
108;10.619047624;92785.0
109;6.0;89089.0
110;6.499999999;91794.0
111;12.962728935;95061.0
112;4.033333333;85439.0
113;4.45;86743.0
114;5.25;82153.0
115;8.125;82905.0
116;3.7916666660000002;80391.0
117;1.5;79163.0
118;5.033333333;81847.0
119;8.666666669;82974.0
120;4.4;80997.0
121;2.333333333;76104.0
122;2.6666666660000002;76383.0
123;3.0;78011.0
124;5.133333331;77453.0
125;5.972619051;76567.0
126;4.549999999;81659.0
127;13.792857142;78898.0
128;5.416666667;73820.0
129;6.035714286;74978.0
130;4.999999999;72731.0
131;5.3499999990000005;74917.0
132;1.6190476219999999;71192.0
133;5.666666666;70129.0
134;4.55;69463.0
135;8.333333333;68676.0
136;2.033333332;66872.0
137;4.238095237;70266.0
138;2.0;66829.0
139;5.8;74530.0
140;3.633333333;66948.0
141;4.0;66293.0
142;1.142857143;63136.0
143;4.666666666;66387.0
144;1.5;65214.0
145;11.566666666;64667.0
146;1.333333332;59934.0
147;2.2;64698.0
148;6.583333333;65946.0
149;5.5;62689.0
150;7.9583333320000005;60221.0
151;7.3333333320000005;65040.0
152;4.2;59017.0
153;8.185714284;60128.0
154;4.25;59597.0
155;3.783333332;60534.0
156;0.0;56585.0
157;6.0;55524.0
158;4.792857143;57602.0
159;12.134920636;56101.0
160;3.333333332;53605.0
161;1.3333333330000001;57937.0
162;4.666666667;54639.0
163;1.166666666;56989.0
164;7.7666666630000005;53858.0
165;5.166666665;55885.0
166;2.333333333;57696.0
167;4.5;56202.0
168;3.73809524;54071.0
169;4.499999998;55129.0
170;0.0;51941.0
171;0.0;51303.0
172;5.066666671;52236.0
173;4.658333332;52782.0
174;1.3333333330000001;50064.0
175;2.583333333;50687.0
176;1.5;48164.0
177;1.6666666669999999;47663.0
178;2.6666666660000002;48157.0
179;1.174603176;48421.0
180;5.717857142;53747.0
181;2.0;51779.0
182;4.366666666;46617.0
183;4.0;46285.0
184;0.5;50282.0
185;1.666666666;48680.0
186;3.899999999;49000.0
187;3.083333333;49262.0
188;6.016666671;48310.0
189;1.95;47524.0
190;0.5;48080.0
191;0.583333333;45798.0
192;1.4000000000000001;51013.0
193;0.666666666;44053.0
194;2.333333333;45552.0
195;2.5;45285.0
196;1.8333333330000001;43032.0
197;5.0;42032.0
198;2.6666666660000002;42949.0
199;1.3333333330000001;44858.0
200;5.627777777;45337.0
201;2.833333333;42342.0
202;2.4166666660000002;44851.0
203;0.0;41967.0
204;2.9;42260.0
205;1.3333333330000001;41867.0
206;1.8333333330000001;39048.0
207;3.8999999990000003;40811.0
208;0.0;38868.0
209;0.666666667;39082.0
210;5.416666666;38678.0
211;6.083333331;38658.0
212;0.0;37725.0
213;2.0;38326.0
214;0.25;38016.0
215;3.749999999;35747.0
216;0.0;36247.0
217;1.0;35530.0
218;1.666666666;34013.0
219;2.0;34952.0
220;0.5;33553.0
221;0.0;34625.0
222;1.0;35494.0
223;0.5;33615.0
224;1.607575757;35263.0
225;0.0;33756.0
226;1.0;34663.0
227;0.666666666;33395.0
228;2.5;34163.0
229;1.0;34369.0
230;2.0;32437.0
231;2.2;39085.0
232;0.0;31148.0
233;0.0;32377.0
234;4.683333331;32449.0
235;2.0;31084.0
236;6.869047624;32571.0
237;1.2;31468.0
238;3.833333333;32576.0
239;2.833333333;31200.0
240;2.5;31052.0
241;0.0;30391.0
242;2.0;29768.0
243;2.0;32978.0
244;2.0;30533.0
245;3.0;30080.0
246;0.0;29321.0
247;4.083333333;30387.0
248;0.0;28530.0
249;2.5;31270.0
250;1.0;30001.0
251;0.666666666;31077.0
252;3.983333333;28468.0
253;2.65;29567.0
254;2.75;29199.0
255;2.0;30334.0
256;4.625000003;28369.0
257;1.0;28772.0
258;1.950000003;28721.0
259;2.0;27775.0
260;0.333333333;27184.0
261;1.371108057;30060.0
262;2.5;26439.0
263;0.0;26753.0
264;1.916666666;27565.0
265;2.0;26962.0
266;2.083333332;30524.0
267;1.7;27725.0
268;0.583333333;27630.0
269;0.75;26203.0
270;0.5;25722.0
271;0.0;26255.0
272;1.666666666;25971.0
273;2.0;25296.0
274;2.333333333;25713.0
275;2.0;24026.0
276;0.0;24427.0
277;0.0;24373.0
278;2.0;25632.0
279;0.0;24357.0
280;1.0;23970.0
281;0.333333333;25618.0
282;3.083333333;24740.0
283;0.0;23890.0
284;2.333333333;24595.0
285;2.0;24057.0
286;3.142857143;24829.0
287;1.5;23340.0
288;0.65;23872.0
289;0.5;24572.0
290;1.0;23304.0
291;0.2;23267.0
292;0.5;23736.0
293;0.0;22702.0
294;2.583333333;23697.0
295;0.0;23905.0
296;0.25;23285.0
297;0.333333333;21871.0
298;2.833333333;23771.0
299;6.733333335;22547.0
300;1.5;22822.0
301;2.4166666660000002;24202.0
302;7.4396978;24716.0
303;6.9761904789999996;21760.0
304;2.333333333;23457.0
305;1.416666666;22561.0
306;2.583333333;23726.0
307;0.0;21829.0
308;0.0;20831.0
309;0.646825397;21413.0
310;2.027472525;21905.0
311;1.5;20921.0
312;0.983333333;21273.0
313;0.0;22129.0
314;1.833333334;21266.0
315;2.0;20810.0
316;1.25;20977.0
317;0.0;20246.0
318;1.0;19049.0
319;0.285714286;18759.0
320;0.0;20800.0
321;0.0;19000.0
322;0.0;19922.0
323;0.0;19533.0
324;0.0;19489.0
325;1.5;19865.0
326;0.0;18661.0
327;0.5;19713.0
328;3.4166666660000002;18559.0
329;0.0;19147.0
330;0.0;17720.0
331;0.0;18169.0
332;0.366666667;18695.0
333;1.0;18022.0
334;0.0;17566.0
335;0.0;18849.0
336;0.25;17708.0
337;0.0;18076.0
338;1.809523811;17556.0
339;0.0;17740.0
340;0.0;17138.0
341;0.333333333;17857.0
342;2.0;18165.0
343;0.0;17754.0
344;1.0;17353.0
345;4.0;16601.0
346;1.7;15515.0
347;0.0;16933.0
348;2.0;16236.0
349;2.6666666660000002;17243.0
350;0.0;15953.0
351;0.0;16129.0
352;1.6666666669999999;15837.0
